kipuka letter code,comp,filt,neut,areaHA,distanceout ,elevationm,spprichness
,,,,,,,
H,0.045,0.428,0.527,3.18,406.09,1631.59,19
,,,,,,,
D,0.01,0.523,0.467,11.41,1004.76,1678.53,20
,,,,,,,
C,0.236,0.348,0.416,0.63,36.29,1666.34,12
,,,,,,,
S,0.19,0.499,0.311,1.28,2136.84,1358.19,11
,,,,,,,
P,0.098,0.532,0.37,1.46,17.65,1419.15,13
,,,,,,,
R,0.078,0.562,0.36,0.52,144.02,1431.04,18
,,,,,,,
Q,0.006,0.546,0.448,1.31,601.29,1439.57,19
,,,,,,,
B,0.021,0.51,0.469,1.2,139.27,1633.12,15
,,,,,,,
A,0.024,0.499,0.477,0.48,39.79,1625.8,17
,,,,,,,
E,0.043,0.485,0.472,0.8,290.08,1655.06,11
,,,,,,,
F,0.198,0.422,0.38,0.1,212.31,1654.15,9
,,,,,,,
M,0.024,0.491,0.485,0.49,22.57,1591.36,17
,,,,,,,
L,0.195,0.493,0.312,0.16,112.79,1588.92,11
,,,,,,,
N,0.027,0.473,0.5,0.41,130.32,1585.87,14
,,,,,,,
O,0.308,0.317,0.375,0.36,63.54,1563.01,13
,,,,,,,
J,0.024,0.466,0.51,0.16,305.78,1591.36,19
,,,,,,,
K,0.198,0.462,0.34,0.07,80.47,1593.8,17
,,,,,,,
I,0.052,0.434,0.514,0.5,393.81,1639.52,18
,,,,,,,
G,0.356,0.294,0.35,0.18,347.65,1637.39,15
