run,alpha,sig.sq,loglik,AIC,AICc
1,0.01,0.638002965,-1430.558749,2867.117498,2867.155175
2,0.05,0.683568393,-1277.221645,2560.443289,2560.480966
3,0.1,0.754881311,-1183.703667,2373.407333,2373.44501
4,0.15,0.834202218,-1128.318741,2262.637483,2262.675159
5,0.2,0.918986217,-1091.44334,2188.886681,2188.924357
6,0.25,1.007628223,-1065.178869,2136.357739,2136.395415
7,0.3,1.099042764,-1045.570717,2097.141434,2097.17911
8,0.35,1.192432429,-1030.38609,2066.77218,2066.809856
9,0.4,1.287176679,-1018.261962,2042.523924,2042.5616
10,0.45,1.382807165,-1008.326254,2022.652507,2022.690184
11,0.5,1.478992207,-1000.003797,2006.007595,2006.045272
12,0.55,1.575511382,-992.905539,1991.811078,1991.848755
13,0.6,1.672227816,-986.7615803,1979.523161,1979.560837
14,0.65,1.769060747,-981.3796948,1968.75939,1968.797066
15,0.7,1.86596588,-976.6192719,1959.238544,1959.27622
16,0.75,1.962922197,-972.3747498,1950.7495,1950.787176
17,0.8,2.059921643,-968.5649317,1943.129863,1943.16754
18,0.85,2.156963365,-965.1259784,1936.251957,1936.289633
19,0.9,2.254050126,-962.0067238,1930.013448,1930.051124
20,0.95,2.351185843,-959.1654736,1924.330947,1924.368624
21,1,2.448375848,-956.5677695,1919.135539,1919.173216
