Genus,species,Genus_species,Genus_Smithspecies,smith tree names,location,min.height.cm ,max.height.cm
,,,,,,,
Achnatherum,lemmonii,Achnatherum_lemmonii,Achnatherum_richardsonii,richardsonii,kipuka,20,70
,,,,,,,
Achnatherum,thurberianum,Achnatherum_thurberianum,Achnatherum_robustum,robustum,kipuka,30.5,70
,,,,,,,
Achnatherum,occidentale,Achnatherum_occidentale,Achnatherum_occidentale,occidentale,kipuka,25,45
,,,,,,,
Agoseris,aurantiaca,Agoseris_aurantiaca,Agoseris_aurantiaca,aurantiaca,kipuka,10,60
,,,,,,,
Agoseris,glauca,Agoseris_glauca,Agoseris_retrorsa,retrorsa,kipuka,10,70
,,,,,,,
Allium,acuminatum,Allium_acuminatum,Allium_acuminatum,acuminatum,kipuka,10,30
,,,,,,,
Alyssum,desertorum,Alyssum_desertorum,Alyssum_desertorum,desertorum,kipuka,10,25
,,,,,,,
Artemisia,tridentata,Artemisia_tridentata,Artemisia_tridentata,tridentata,kipuka,40,200
,,,,,,,
Artemisia,tripartita,Artemisia_tripartita,Artemisia_tripartita,tripartita,kipuka,20,60
,,,,,,,
Astragalus,filipes,Astragalus_filipes,Astragalus_bodinii,bodinii,kipuka,30,90
,,,,,,,
Astragalus,lentiginosus,Astragalus_lentiginosus,Astragalus_brachycarpus,brachycarpus,kipuka,10,40
,,,,,,,
Astragalus,purshii,Astragalus_purshii,Astragalus_brevidens,brevidens,kipuka,5,10
,,,,,,,
Balsamorhiza,sagittata,Balsamorhiza_sagittata,Balsamorhiza_sagittata,sagittata,kipuka,15,80
,,,,,,,
Boechera,divaricarpa,Boechera_divaricarpa,Boechera_divaricarpa,divaricarpa,kipuka,25,80
,,,,,,,
Calochortus,macrocarpus,Calochortus_macrocarpus,Calochortus_macrocarpus,macrocarpus,kipuka,20,70
,,,,,,,
Carex,filifolia,Carex_filifolia,Carex_geyeri,geyeri,kipuka,10.25,35.5
,,,,,,,
Chaenactis,douglasii,Chaenactis_douglasii,Chaenactis_douglasii,douglasii,kipuka,10,60
,,,,,,,
Chamaebatiaria,millefolium,Chamaebatiaria_millefolium,Chamaebatiaria_millefolium,millefolium,kipuka,100,200
,,,,,,,
Chenopodium,leptophyllum,Chenopodium_leptophyllum,Chenopodium_leptophyllum,leptophyllum,kipuka,20,60
,,,,,,,
Chrysothamnus,viscidiflorus,Chrysothamnus_viscidiflorus,Chrysothamnus_viscidiflorus,viscidiflorus,kipuka,20,100
,,,,,,,
Cordylanthus,ramosus,Cordylanthus_ramosus,Cordylanthus_ramosus,ramosus,kipuka,10,90
,,,,,,,
Crepis,acuminata,Crepis_acuminata,Crepis_acuminata,acuminata,kipuka,20,70
,,,,,,,
Delphinium,andersonii,Delphinium_andersonii,Delphinium_andersonii,andersonii,kipuka,30,60
,,,,,,,
Descurainia,incana,Descurainia_incana,Descurainia_incana,incana,kipuka,15,120
,,,,,,,
Descurainia,pinnata,Descurainia_pinnata,Descurainia_pinnata,pinnata,kipuka,10,70
,,,,,,,
Diplacus,nanus,Diplacus_nanus,Diplacus_nanus,nanus,kipuka,1.3,10
,,,,,,,
Elymus,elymoides,Elymus_elymoides,Elymus_elymoides,elymoides,kipuka,10,60
,,,,,,,
Eriastrum,sparsiflorum,Eriastrum_sparsiflorum,Eriastrum_sparsiflorum,sparsiflorum,kipuka,5,30.5
,,,,,,,
Ericameria,nauseosa,Ericameria_nauseosa,Ericameria_nauseosa,nauseosa,kipuka,20,280
,,,,,,,
Erigeron,pumilus,Erigeron_pumilus,Erigeron_pumilus,pumilus,kipuka,5,50
,,,,,,,
Erigeron,subtrinervis,Erigeron_subtrinervis,Erigeron_subtrinervis,subtrinervis,kipuka,15,80
,,,,,,,
Eriogonum,caespitosum,Eriogonum_caespitosum,Eriogonum_caespitosum,caespitosum,kipuka,3,10
,,,,,,,
Erythranthe,suksdorfii,Erythranthe_suksdorfii,Erythranthe_suksdorfii,suksdorfii,kipuka,3,10
,,,,,,,
Festuca,viridula,Festuca_viridula,Festuca_baffinensis,baffinensis,kipuka,40,80
,,,,,,,
Galium,bifolium,Galium_bifolium,Galium_bifolium,bifolium,kipuka,5,20
,,,,,,,
Gayophytum,ramosissimum,Gayophytum_ramosissimum,Gayophytum_heterozygum,heterozygum,kipuka,15,40
,,,,,,,
Hackelia,floribunda,Hackelia_floribunda,Hackelia_floribunda,floribunda,kipuka,30,100
,,,,,,,
Lappula,redowskii,Lappula_redowskii,Lappula_redowskii,redowskii,kipuka,5,40
,,,,,,,
Lathrocasis,tenerrima,Lathrocasis_tenerrima,Lathrocasis_tenerrima,tenerrima,kipuka,3,35
,,,,,,,
Leymus,cinereus,Leymus_cinereus,Leymus_cinereus,cinereus,kipuka,100,200
,,,,,,,
Lithophragma,tenellum,Lithophragma_tenellum,Lithophragma_tenellum,tenellum,kipuka,10,25
,,,,,,,
Lithospermum,ruderale,Lithospermum_ruderale,Lithospermum_ruderale,ruderale,kipuka,20,60
,,,,,,,
Lomatium,ambiguum,Lomatium_ambiguum,Lomatium_ambiguum,ambiguum,kipuka,10,80
,,,,,,,
Lomatium,foeniculaceum,Lomatium_foeniculaceum,Lomatium_foeniculaceum,foeniculaceum,kipuka,3,40
,,,,,,,
Lomatium,multifidum,Lomatium_multifidum,Lomatium_dissectum,dissectum,kipuka,50,150
,,,,,,,
Lomatium,simplex,Lomatium_simplex,Lomatium_idahoense,idahoense,kipuka,20,80
,,,,,,,
Mentzelia,albicaulis,Mentzelia_albicaulis,Mentzelia_albicaulis,albicaulis,kipuka,10,40
,,,,,,,
Penstemon,cyaneus,Penstemon_cyaneus,Penstemon_albertinus,albertinus,kipuka,30,70
,,,,,,,
Penstemon,procerus,Penstemon_procerus,Penstemon_procerus,procerus,kipuka,5,40
,,,,,,,
Phacelia,heterophylla,Phacelia_heterophylla,Phacelia_heterophylla,heterophylla,kipuka,20,120
,,,,,,,
Phlox,aculeata,Phlox_aculeata,Phlox_aculeata,aculeata,kipuka,61,122
,,,,,,,
Phlox,hoodii,Phlox_hoodii,Phlox_hoodii,hoodii,kipuka,3,6
,,,,,,,
Phlox,longifolia,Phlox_longifolia,Phlox_longifolia,longifolia,kipuka,10,50
,,,,,,,
Poa,secunda,Poa_secunda,Poa_none,none,kipuka,40,60
,,,,,,,
Purshia,tridentata,Purshia_tridentata,Purshia_tridentata,tridentata,kipuka,100,200
,,,,,,,
Ranunculus,glaberrimus,Ranunculus_glaberrimus,Ranunculus_glaberrimus,glaberrimus,kipuka,5,20
,,,,,,,
Ribes,aureum,Ribes_aureum,Ribes_aureum,aureum,kipuka,100,300
,,,,,,,
Senecio,sphaerocephalus,Senecio_sphaerocephalus,Senecio_triangularis,triangularis,kipuka,30,80
,,,,,,,
Sisymbrium,altissimum,Sisymbrium_altissimum,Sisymbrium_altissimum,altissimum,kipuka,30,150
,,,,,,,
Stephanomeria,tenuifolia,Stephanomeria_tenuifolia,Stephanomeria_tenuifolia,tenuifolia,kipuka,20,70
,,,,,,,
Thinopyrum,intermedium,Thinopyrum_intermedium,Thinopyrum_junceum,junceum,kipuka,91.5,122
,,,,,,,
Thlaspi,arvense,Thlaspi_arvense,Thlaspi_arvense,arvense,kipuka,10,50
,,,,,,,
Toxicoscordion,paniculatum,Toxicoscordion_paniculatum,Toxicoscordion_paniculatum,paniculatum,kipuka,30.5,76
,,,,,,,
Viola,nuttallii,Viola_nuttallii,Viola_canadensis,canadensis,kipuka,3,12
,,,,,,,
